"predef_unique","Freq"
"Chromidotilapia cf. kingsleyae",2
"Clarias angolensis",2
"Distichodus notospilus",2
"Clarias angolensis",3
"Clarias camerunensis",2
"Hemichromis elongatus",3
"Distichodus hypostomatus",2
"Epiplatys multifasciatus",2
"Hemichromis elongatus",2
"Marcusenius moorii",2
"Xenocharax spilurus",2
"Chromidotilapia cf. kingsleyae",2
"Clarias angolensis",3
"Ctenopoma nigropannosum",2
"Divandu cf. albimarginatus",2
"Hemichromis elongatus",2
"Labeo cf. lukulae",2
"Mastacembelus niger",2
"Chromidotilapia cf. kingsleyae",2
"Clarias angolensis",3
"Clarias camerunensis",2
"Distichodus notospilus",2
"Epiplatys multifasciatus",2
"Hemichromis elongatus",2
"Mastacembelus niger",2
"Chromidotilapia cf. kingsleyae",2
"Distichodus notospilus",2
"Doumea cf. sanaga",2
"Epiplatys multifasciatus",2
"Hemichromis elongatus",3
"Chromidotilapia cf. kingsleyae",2
"Clarias angolensis",2
"Distichodus notospilus",2
"Hemichromis elongatus",2
"Chromidotilapia cf. kingsleyae",2
"Clarias angolensis",3
"Distichodus hypostomatus",2
"Divandu cf. albimarginatus",2
"Hemichromis elongatus",2
"Xenocharax spilurus",2
"Clarias angolensis",2
"Clarias camerunensis",2
"Epiplatys multifasciatus",2
"Hemichromis elongatus",2
"Labeo cf. lukulae",2
"Marcusenius moorii",2
"Chromidotilapia cf. kingsleyae",2
"Distichodus notospilus",2
"Hemichromis elongatus",3
